"","record_id","outdesc","out","outprimary","outtype","outanalysis___1","outanalysis___2","outanalysis___3","outanalysis___4","outanalysisdesc","outhowgconfound___1","outhowgconfound___2","outhowgconfound___3","outhowgconfound___4","outhowgconfound___5","outhowgconfound___6","outhowgconfound___7","outhowgconfound___8","outhowconfounddesc","outconfdomains___1","outconfdomains___2","outconfdomains___3","outconfdomains___4","outconfdomains___5","outconfdomains___6","outconfdomains___7","outconfdomains___8","outconfdomains___9","outconfdomains___10","outconfdomains___11","outconfdomains___12","outconfdomains___13","outconfdomains___14","outconfdomains___15","outconfdomains___16","outconfdomains___17","outmingenetics","outmincoinfect","outminatopic","outminneonatal","outminchildsex","outminantibiotic","outminses","outminsibling","outminsmoking","outminnutrition","outminallergens","outminpollution","outminageexp","outminageout","expdesc","expmeth___1","expmeth___2","expmeth___3","expmeth___4","expmeth___5","exptype","exptime___1","exptime___2","exptime___3","exptimedesc","compdesc","type","time2needed","time3needed","expdesc.1","time","estype","esdesc","esmethod","es","es.se.report","es.se","n","expevent","expnonevent","compevent","compnonevent","outage","id","compid","outid","w"
"10",2,"Authors just state: ""All patients who presented with LRI and wheezing were followed up for two years in order to determine recurrent episodes of wheezing""",2,1,1,1,0,0,0,"Authors only state: ""Descriptive statistics were used in the analysis with SPSS software.""",0,0,0,0,0,0,0,1,"No attempt to reduce confounding was made",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RSV/LRTI positive",1,0,0,0,0,1,0,0,1,"Birth to five years","RSV/LRTI negative",2,2,1,NA,1,10,"can't calculate an effect size because some cells of the 2x2 table could not be filled in",2,NA,2,NA,121,11,26,NA,NA,"wheezing in past two years (ages 0-7-->had to be <5 years of age at start of study)",2,1,1,NA
"978",109,"Pneumonia with wheeze",2,2,1,0,1,0,0,"""A multivariable Poisson regression model was developed by using a forward stepwise procedure, rejecting variables with a p value >0.05 in likelihood ratio tests. Risk factors were introduced in descending order of strength of association determined from the univariate analysis. We used a robust variance estimator (Huber-White sandwich estimator) to account for within-person correlation of outcomes. We also performed time-to-event analysis with multiple-failure per person and single failure per person (censoring at first readmission with pneumonia), treating death as a competing risk.""    ""Incidence rates were calculated as the number of outcome events among cohort members divided by the sum of child-years at risk within the cohort.""",0,1,0,0,0,0,0,0,"multivariable Poisson regression adjusting for covariates; adjusted for age at exposure (>3 months  or not), age at outcome ascertainment (0-11, 12-23-24-36-48-59 months). admission for non-LRTI, quality of access to hospital",0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,"infants hospitalized in the first year of life with LRTI who were RSV+ on the basis of RSV immuno-fluorescence antibody test results.",1,0,0,0,0,2,1,0,0,"","infants hospitalized in the first year of life with LRTI who were CONFIRMED non-RSV- on the basis of RSV immuno-fluorescence antibody test results. (we only considered the effect size in which kids not tested for RSV were excluded)",2,2,1,NA,1,10,"Adjusted incidence rate ratio based on poisson regression",1,1.32,1,0.27,2472,NA,NA,NA,NA,"exposure (0-12 months) through age 5",109,2,1,3.7037037037037
"1044",116,"At age seven, a clinical questionnaire was administered to assess data on respiratory  symptoms (day or night cough, discomfort during exercise, use of salbutamol), respiratory  treatments (corticosteroid p.o. or inhaled, long-acting bronchodilator), hospitalisation for  asthma, wheezing outside viral episodes, personal atopy (presence of atopic dermatitis,  eczema, rhinoconjunctivitis, food anaphylaxis from birth), environmental exposure to  tobacco smoke (currently or during pregnancy), pets, type of housing, day-care attendance  and number of siblings. Asthma was defined according to the frequency of the following symptoms: asthma  symptoms (tachypnea, wheezing, expiratory stridor, respiratory chest retraction), and  doctor-diagnosed wheezes or use of anti-asthmatic medication with a medical prescription. If >=3 respiratory symptoms were documented >=2 times or if any such episode lasted >=4 weeks, then the subject was classified as having asthma.",1,1,1,0,0,0,1,"Univariate analysis of asthma was conducted using the chi-squared test.",0,0,0,0,0,0,0,1,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RSV only",1,0,0,0,0,1,1,0,0,"","HRV only",2,2,1,NA,1,10,"The authors only report the p-value from the chi-squared, univariate test (Table 3).  The numbers listed in the table can be used to calculate an odds ratio for RSV vs. HRV. RSV asthma: 11/15, RSV no asthma: 41/53, HRV asthma: 7/15, HRV no asthma 9/53. OR (from excel spreadsheet) 0.34.",2,0.34,1,0.61,68,11,41,7,9,"ever asthma diagnosis by age 7 (ages 0-7)",116,1,1,1.63934426229508
"1051",117,"Recurrent wheezing was defined as two or more episodes following initial bronchiolitis for two years.",2,1,1,0,0,0,1,"Descriptive statistics",0,0,0,0,0,0,0,1,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RSV",1,0,0,0,0,2,0,1,0,"","HRV (could have RSV co-infection?)",2,2,1,NA,1,10,"Descriptive statistics- can calculate odds ratio from Table 2- RSV and recurrent wheeze: 7/18; RSV and no recurrent wheeze: 29/63; HRV and recurrent wheeze: 1/18; HRV and no recurrent wheeze: 2/63",2,0.48,1,1.3,81,7,29,1,2,"recurrent wheeze (ages 1-4 years)",117,1,1,0.769230769230769
"1050",117,"Recurrent wheezing was defined as two or more episodes following initial bronchiolitis for two years.",2,1,1,0,0,0,1,"Descriptive statistics",0,0,0,0,0,0,0,1,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RSV",1,0,0,0,0,2,0,1,0,"","HBoV (could have RSV co-infection?)",2,2,1,NA,1,10,"Descriptive statistics- can calculate odds ratio from Table 2- RSV and recurrent wheeze: 7/18; RSV and no recurrent wheeze: 29/63; HBoV and recurrent wheeze: 1/18; HBoV and no recurrent wheeze: 1/63",2,0.24,1,1.48,81,7,29,1,1,"recurrent wheeze (ages 1-4 years)",117,2,1,0.675675675675676
"1054",118,"Wheezing episodes were reported based upon the questions, ""Has the child had episodes of wheezing and/or chest tightness? If yes: specify the total number of episodes from birth to enrolment (first assessment) and from enrolment to the two-year assessment."" Additionally, parents were asked if the child had  doctor-diagnosed asthma. The primary outcome was early asthma by use of the proxy recurrent wheeze at 2 years, defined as at least  three episodes of wheeze, including the acute bronchiolitis at enrolment. We also used the total number of wheezing episodes by 2 years of age.",2,1,1,0,1,0,0,"The analyses focused on the total number of wheezing episodes experienced by 2 years of age, including the acute bronchiolitis at enrolment. A dichotomisation with at least three events was used as a proxy for early asthma and served as our primary outcome. It was analysed by a logistic regression.",0,1,0,0,0,0,0,0,"Footnote in Table 2 states that the authors adjusted for sex, age at inclusion, and parental atopy.",1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,NA,"RSV",1,0,0,0,0,2,1,0,0,"","HRV",2,2,1,NA,1,10,"Descriptive statistics- used Table 1 to calculate odds ratio for RSV vs. non-RSV comparisons",2,1.02,1,0.25,294,107,112,45,48,"recurrent wheeze by age 2 years (ages 0-2)",118,1,1,4
"1058",118,"Wheezing episodes were reported based upon the questions, ""Has the child had episodes of wheezing and/or chest tightness? If yes: specify the total number of episodes from birth to enrolment (first assessment) and from enrolment to the two-year assessment."" Additionally, parents were asked if the child had  doctor-diagnosed asthma. The primary outcome was early asthma by use of the proxy recurrent wheeze at 2 years, defined as at least  three episodes of wheeze, including the acute bronchiolitis at enrolment. We also used the total number of wheezing episodes by 2 years of age.",2,1,1,0,1,0,0,"The analyses focused on the total number of wheezing episodes experienced by 2 years of age, including the acute bronchiolitis at enrolment. A dichotomisation with at least three events was used as a proxy for early asthma and served as our primary outcome. It was analysed by a logistic regression.",0,1,0,0,0,0,0,0,"Footnote in Table 2 states that the authors adjusted for sex, age at inclusion, and parental atopy.",1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,NA,"RSV",1,0,0,0,0,2,1,0,0,"","HRV A or B",2,2,1,NA,1,10,"Descriptive statistics- used Table 1 to calculate odds ratio for RSV vs. non-RSV comparisons",2,1.27,1,0.41,294,107,112,12,16,"recurrent wheeze by age 2 years (ages 0-2)",118,2,1,2.4390243902439
"1056",118,"Wheezing episodes were reported based upon the questions, ""Has the child had episodes of wheezing and/or chest tightness? If yes: specify the total number of episodes from birth to enrolment (first assessment) and from enrolment to the two-year assessment."" Additionally, parents were asked if the child had  doctor-diagnosed asthma. The primary outcome was early asthma by use of the proxy recurrent wheeze at 2 years, defined as at least  three episodes of wheeze, including the acute bronchiolitis at enrolment. We also used the total number of wheezing episodes by 2 years of age.",2,1,1,0,1,0,0,"The analyses focused on the total number of wheezing episodes experienced by 2 years of age, including the acute bronchiolitis at enrolment. A dichotomisation with at least three events was used as a proxy for early asthma and served as our primary outcome. It was analysed by a logistic regression.",0,1,0,0,0,0,0,0,"Footnote in Table 2 states that the authors adjusted for sex, age at inclusion, and parental atopy.",1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,NA,"RSV",1,0,0,0,0,2,1,0,0,"","HRV C",2,2,1,NA,1,10,"Descriptive statistics- used Table 1 to calculate odds ratio for RSV vs. non-RSV comparisons",2,0.93,1,0.28,294,107,112,33,32,"recurrent wheeze by age 2 years (ages 0-2)",118,3,1,3.57142857142857
"1065",119,"We followed up children from birth until age 2 years for LRTI or wheezing using active surveillance systems. Episodes of wheezing were reported by a caregiver using questions adapted from the international Study of Asthma and Allergies in Childhood or were diagnosed on auscultation by trained study staff at a study visit or during an intercurrent illness. Outcome 1: any wheezing birth to two years",2,2,1,0,1,0,0,"generalised estimating equations with a negative  binomial family and link function (GEE used to acocunt for intraindividual clustering of intervals) ",0,1,0,0,0,0,0,0,"Adjusted for sex, socioeconomic status quartile, season at birth, other children in the household, HIV exposure, maternal smoking, prematurity, low birthweight, and age at time of reported or assessed wheeze or mid-interval of no wheeze recorded.",0,0,0,1,1,0,1,1,1,0,0,0,0,1,0,1,0,NA,NA,NA,2,2,NA,2,2,2,NA,NA,NA,NA,2,"Hospitalized RSV LRTI (Table 4)",1,0,0,0,0,0,0,1,0,"","non-RSV LRTI",2,2,1,NA,1,10,"Incidence risk ratio for ANY WHEEZING SINCE BIRTH (birth to 2 years)",1,2.72,1,0.15,1131,NA,NA,NA,NA,"any wheezing in past 2 years (birth to 2 years)",119,2,1,6.66666666666667
"1068",119,"We followed up children from birth until age 2 years for LRTI or wheezing using active surveillance systems. Episodes of wheezing were reported by a caregiver using questions adapted from the international Study of Asthma and Allergies in Childhood or were diagnosed on auscultation by trained study staff at a study visit or during an intercurrent illness. Outcome 1: any wheezing birth to two years",2,2,1,0,1,0,0,"generalised estimating equations with a negative  binomial family and link function (GEE used to acocunt for intraindividual clustering of intervals) ",0,1,0,0,0,0,0,0,"Adjusted for sex, socioeconomic status quartile, season at birth, other children in the household, HIV exposure, maternal smoking, prematurity, low birthweight, and age at time of reported or assessed wheeze or mid-interval of no wheeze recorded.",0,0,0,1,1,0,1,1,1,0,0,0,0,1,0,1,0,NA,NA,NA,2,2,NA,2,2,2,NA,NA,NA,NA,2,"RSV LRTI (Table 4)",1,0,0,0,0,0,0,1,0,"","Rhinovirus LRTI",2,2,NA,NA,1,10,"Incidence risk ratio for ANY WHEEZING SINCE BIRTH (birth to 2 years)",1,0.92,1,0.14,1131,NA,NA,NA,NA,"any wheezing in past 2 years (birth to 2 years)",119,3,1,7.14285714285714
"2188",119,"Outcome 2: recurrent wheezing (two or more events); Recurrent wheezing was defined a-priori as two or more observations of wheezing after the LRTI event in individuals experiencing LRTI and two or more observations of wheezing in those who did not experience an LRTI.",2,2,1,0,1,0,0,"generalised estimating equations with a negative  binomial family and link function (GEE used to acocunt for intraindividual clustering of intervals) ",0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RSV LRTI (Table 4)",1,0,0,0,0,0,0,1,0,"","non-RSV LRTI",2,2,1,NA,1,10,"Incidence risk ratio for RECURRENT WHEEZING (2 OR MORE EVENTS) SINCE BIRTH (birth to 2 years)",1,1.41,1,0.06,1131,NA,NA,NA,NA,"recurrent wheezing (2 or more events) from birth to 2 years",119,1,2,16.6666666666667
"2190",119,"Outcome 2: recurrent wheezing (two or more events); Recurrent wheezing was defined a-priori as two or more observations of wheezing after the LRTI event in individuals experiencing LRTI and two or more observations of wheezing in those who did not experience an LRTI.",2,2,1,0,1,0,0,"generalised estimating equations with a negative  binomial family and link function (GEE used to acocunt for intraindividual clustering of intervals) ",0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hospitalized RSV LRTI (Table 4)",1,0,0,0,0,0,0,1,0,"","non-RSV LRTI",2,2,1,NA,1,10,"Incidence risk ratio for RECURRENT WHEEZING (2 OR MORE EVENTS) SINCE BIRTH (birth to 2 years)",1,1.32,1,0.09,1131,NA,NA,NA,NA,"recurrent wheezing (2 or more events) from birth to 2 years",119,2,2,11.1111111111111
"2193",119,"Outcome 2: recurrent wheezing (two or more events); Recurrent wheezing was defined a-priori as two or more observations of wheezing after the LRTI event in individuals experiencing LRTI and two or more observations of wheezing in those who did not experience an LRTI.",2,2,1,0,1,0,0,"generalised estimating equations with a negative  binomial family and link function (GEE used to acocunt for intraindividual clustering of intervals) ",0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RSV LRTI (Table 4)",1,0,0,0,0,0,0,1,0,"","Rhinovirus LRTI",2,2,1,NA,1,10,"Incidence risk ratio for RECURRENT WHEEZING (2 OR MORE EVENTS) SINCE BIRTH (birth to 2 years)",1,1.11,1,0.13,1131,NA,NA,NA,NA,"recurrent wheezing (2 or more events) from birth to 2 years",119,3,2,7.69230769230769
"3313",119,"Outcome 2: recurrent wheezing (three or more events); Recurrent wheezing was defined a-priori as two or more observations of wheezing after the LRTI event in individuals experiencing LRTI and two or more observations of wheezing in those who did not experience an LRTI.",2,2,1,0,1,0,0,"generalised estimating equations with a negative  binomial family and link function (GEE used to acocunt for intraindividual clustering of intervals) ",0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RSV LRTI (Table 4)",1,0,0,0,0,0,0,1,0,"","Non-RSV LRTI",2,2,1,NA,1,10,"Incidence risk ratio for RECURRENT WHEEZING (3 OR MORE EVENTS) SINCE BIRTH (birth to 2 years)",1,1.42,1,0.1,1131,NA,NA,NA,NA,"recurrent wheezing (3 or more events) from birth to 2 years",119,1,3,10
"3315",119,"Outcome 2: recurrent wheezing (three or more events); Recurrent wheezing was defined a-priori as two or more observations of wheezing after the LRTI event in individuals experiencing LRTI and two or more observations of wheezing in those who did not experience an LRTI.",2,2,1,0,1,0,0,"generalised estimating equations with a negative  binomial family and link function (GEE used to acocunt for intraindividual clustering of intervals) ",0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hospitalized RSV LRTI (Table 4)",1,0,0,0,0,NA,0,1,0,"","Non-RSV LRTI",2,2,1,NA,1,10,"Incidence risk ratio for RECURRENT WHEEZING (3 OR MORE EVENTS) SINCE BIRTH (birth to 2 years)",1,1.51,1,0.15,1131,NA,NA,NA,NA,"recurrent wheezing (3 or more events) from birth to 2 years",119,2,3,6.66666666666667
"3318",119,"Outcome 2: recurrent wheezing (three or more events); Recurrent wheezing was defined a-priori as two or more observations of wheezing after the LRTI event in individuals experiencing LRTI and two or more observations of wheezing in those who did not experience an LRTI.",2,2,1,0,1,0,0,"generalised estimating equations with a negative  binomial family and link function (GEE used to acocunt for intraindividual clustering of intervals) ",0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RSV LRTI (Table 4)",1,0,0,0,0,0,0,1,0,"","Rhinovirus LRTI",2,2,1,NA,1,10,"Incidence risk ratio for RECURRENT WHEEZING (3 OR MORE EVENTS) SINCE BIRTH (birth to 2 years)",1,1.12,1,0.28,1131,NA,NA,NA,NA,"recurrent wheezing (3 or more events) from birth to 2 years",119,3,3,3.57142857142857
"1077",120,"Recurrent wheezing in the year of follow up was defined as having at least 4 wheezing episodes. The authors did not describe how wheezing was ascertained.",2,1,1,0,0,0,1,"descriptive statistics (Table 2)",0,0,0,0,0,0,0,1,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RSV LRTI (Table 2)",1,0,0,0,0,2,0,0,1,"Birth to 3 years","Mycoplasma infection",2,2,1,NA,1,10,"descriptive statistics- I calculated OR",2,1.82,1,0.74,145,20,11,5,5,"wheezing in past year (1 year post hospital admission)",120,1,1,1.35135135135135
"1072",120,"Recurrent wheezing in the year of follow up was defined as having at least 4 wheezing episodes. The authors did not describe how wheezing was ascertained.",2,1,1,0,0,0,1,"descriptive statistics (Table 2)",0,0,0,0,0,0,0,1,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RSV LRTI (Table 2)",1,0,0,0,0,2,0,0,1,"Birth to 3 years","Hib infection",2,2,1,NA,1,10,"descriptive statistics",2,3.64,1,1.28,145,20,11,1,2,"wheezing in past year (1 year post hospital admission)",120,2,1,0.78125
"1075",120,"Recurrent wheezing in the year of follow up was defined as having at least 4 wheezing episodes. The authors did not describe how wheezing was ascertained.",2,1,1,0,0,0,1,"descriptive statistics (Table 2)",0,0,0,0,0,0,0,1,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RSV LRTI (Table 2)",1,0,0,0,0,2,0,0,1,"Birth to 3 years","Influenza B infection",2,2,1,NA,1,10,"descriptive statistics",2,0.45,1,1.18,145,20,11,4,1,"wheezing in past year (1 year post hospital admission)",120,3,1,0.847457627118644
"1085",121,"Based on biannual parent telephone interviews, the primary outcome for the present analysis was recurrent wheezing by age 3 years, as defined by the 2007 National Institutes of Health's Expert Panel Report 3: having at least 2  corticosteroid-requiring exacerbations in 6 months or having at least 4 wheezing episodes in 1 year that last at least 1 day and affect sleep. There is no required or specified time frame between episodes of wheezing. Because wheezing in early childhood can be transient, we extended this outcome to children who had recurrent wheezing by age 3 years and also had asthma at age 4 years. We defined asthma at age 4 years using an epidemiologic definition:  having both a physician's diagnosis of asthma and either asthma medication use (eg, albuterol inhaler, and inhaled corticosteroids) or asthma-related symptoms (eg, wheezing and nocturnal cough) between the ages of 3 and 4 years.",2,1,1,0,0,0,1,"descriptive statistics",0,0,0,0,0,0,0,1,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RSV LRTI during hospitalization (Table 1)",1,0,0,0,0,2,1,0,0,"","Rhinovirus",2,2,1,NA,1,10,"descriptive statistics- I used information in Table 1 to calculate the odds ratio",2,0.71,1,0.18,842,196,494,62,111,"recurrent wheezing by 3 years (ages 0-3)",121,1,1,5.55555555555556
